,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 503.5, 90)"
1,0,1,XM5,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 518.0, 90)"
2,0,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(1280, 864, 90)","(1280.0, 864.0, 90)"
3,1,0,XM5,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 864.0, 90)"
4,1,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 503.5, 90)"
5,1,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(1280, 864, 90)","(1280.0, 864.0, 90)"
6,2,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 503.5, 90)"
7,2,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 864.0, 90)"
8,2,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(1280, 864, 90)","(1280.0, 864.0, 90)"
9,3,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 503.5, 90)"
10,3,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 864.0, 90)"
11,3,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(1280, 864, 90)","(1280.0, 864.0, 90)"
12,4,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 503.5, 90)"
13,4,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 864.0, 90)"
14,4,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(1280, 864, 90)","(1280.0, 864.0, 90)"
15,5,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 503.5, 90)"
16,5,1,XM5,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 518.0, 90)"
17,5,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(1280, 864, 90)","(1280.0, 864.0, 90)"
18,6,0,XM5,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 518.0, 90)"
19,6,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 503.5, 90)"
20,6,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(1280, 864, 90)","(1280.0, 864.0, 90)"
21,7,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 878.5, 90)"
22,7,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 518.0, 90)"
23,7,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(1280, 864, 90)","(1280.0, 864.0, 90)"
24,8,0,XM5,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 518.0, 90)"
25,8,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 503.5, 90)"
26,8,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(1280, 864, 90)","(1280.0, 864.0, 90)"
27,9,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 503.5, 90)"
28,9,1,XM5,0.0,0.0,0.0,"(1280, 864, 90)","(1280.0, 518.0, 90)"
29,9,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(1280, 864, 90)","(1280.0, 864.0, 90)"
30,10,0,XM5,0.0,0.0,0.0,"(1280, 864, 90)","(1559.0, 864.0, 90)"
